question,answer,options
What neurons carry nerve impulses from sense organs and internal organs to the central nervous system?,sensory,"['vascular', 'axons', 'autonomic', 'sensory']"
"Associated with hair follicles, what type of oil gland is found all over the body and helps to lubricate and waterproof the skin and hair?",sebaceous gland,"['gametes gland', 'melanin gland', 'sebaceous gland', 'sweat gland']"
"The five human senses are taste, touch, vision, hearing and one more. what is it?",smell,"['fear', 'perception', 'audio', 'smell']"
How many bones does an adult skeleton have?,206,"['192', '208', '206', '196']"
"Temperature and precipitation determine the types of what that can grow in an area, in turn affecting the animals that live there?",plants,"['plants', 'roots', 'building', 'birds']"
What is the transfer of heat by physical contact?,conduction,"['diffusion', 'inhibition', 'oxidation', 'conduction']"
"What analytical technique, using stained gel, can separate dna fragments or rna molecules and proteins?",gel electrophoresis,"['surface electrophoresis', 'static electrophoresis', 'gel electrophoresis', 'microwave electrophoresis']"
Questioning claims based on their scientific verifiability rather than accepting claims based on faith or anecdotes is called what?,scientific skepticism,"['scientific skepticism', 'scientific mimicry', 'scientific fact', 'scientific extreme']"
"Animals with better fitness have a better chance of passing their genes onto the next generation, this process is known as?",natural selection,"['fitness selection', 'natural evolution', 'survival selection', 'natural selection']"
What acids are the structural components of many lipids and may be saturated or unsaturated?,fatty acids,"['fatty acids', 'carbonic acids', 'fundamental acids', 'ionic acids']"
Earth's axis is an imaginary line passing through which poles?,north and south,"['southwest and south', 'west and south', 'East and North', 'north and south']"
What system does addictive drugs affect?,reward system,"['reward system', 'checks and balances', 'digestive system', 'honor system']"
What happens when ionic compounds are dissolved in water?,conduct electricity,"['deflect electricity', 'repel electricity', 'conduct electricity', 'magnetize electricity']"
What is the process in which unspecialized cells become specialized in structure and function to perform certain tasks in the body?,differentiation,"['differentiation', 'transcription', 'mutation', 'speciation']"
Toxins and poisons are ______ enzyme inhibitos,irreversible,"['reversible', 'irreversible', 'observable', 'cancerous']"
How many types of basic sensory receptors are there?,five,"['five', 'five', 'four', 'six']"
What bond is the force of attraction that holds together two atoms that share a pair of valence electrons?,covalent,"['covalent', 'metallic', 'polar', 'hydrogen']"
"Above the meristem, the rest of the root is covered with a single layer of what type of cells, which may have root hairs?",epidermal,"['single celled', 'vegetative', 'dermal', 'epidermal']"
What were the first plants to evolve?,nonvascular plants,"['trees', 'photoreactive plants', 'nonvascular plants', 'fungi']"
What term describes the distance between two corresponding points on adjacent waves?,wavelength,"['wavelength', 'threshold', 'frequency', 'variation']"
What break down dead organisms and other organic waste and release inorganic molecules back to the environment called?,decomposers,"['detritivores', 'carnivores', 'decomposers', 'nematodes']"
The variety of cell shapes seen in prokaryotes and eukaryotes reflects the functions that each what has?,cell,"['cell', 'life', 'organ', 'proteins']"
What is the science of classifying living things called?,taxonomy,"['terminology', 'methodology', 'botany', 'taxonomy']"
"Illustrating how form follows function, long, slender protein strands that make up what tissue are essential for contracting and relaxing?",muscle,"['muscle', 'veins', 'tendons', 'ligaments']"
What makes marginal lands unsuitable for farming?,drought,"['flood', 'pestilence', 'disease', 'drought']"
What happens to water when it freezes?,it expands,"['changes to gas', 'it shrinks', 'it expands', 'changes volume']"
"The three parts of the human small intestine is the duodenum, jejunum, and what?",ileum,"['cecum', 'colon', 'ileum', 'appendix']"
What is the term for the ability of a fluid to exert an upward force on any object placed in it?,buoyancy,"['resonance', 'buoyancy', 'viscosity', 'density']"
A fuel cell is a galvanic cell that requires a constant external supply of what?,reactants,"['reactants', 'complexes', 'generators', 'electricity']"
"Lichens are not a single organism, but rather an example of a what?",mutualism,"['homogeneous mixture', 'mutualism', 'symbiosis', 'fusion']"
What theory states that there is no interaction between individual gas particles?,kinetic theory,"['vortex theory', 'Avoidance theory', 'kinetic theory', 'viscosity theory']"
Which is one of the most frequently studied cartilaginous fish?,sharks,"['sharks', 'whales', 'manatees', 'dolphins']"
A vapor light produces visible light by what process?,electroluminescence,"['Solar Energy', 'electroluminescence', 'solutes', 'luminescent']"
"What substance, which forms igneous rock, flows out in rivers of lava when it reaches the surface?",magma,"['fertilizer', 'soil', 'magma', 'granite']"
What do mammals have under the skin to help insulate the body?,a layer of fat,"['cartilage', 'nerve cells', 'bone', 'a layer of fat']"
Certain air pollutants form which liquid when dissolved in water droplets in the air?,acid,"['water', 'base', 'citrus', 'acid']"
What element is the most abundant in the universe?,hydrogen,"['helium', 'carbon', 'oxygen', 'hydrogen']"
"Atoms of a given _______ are identical in size, mass, and other properties.",element,"['element', 'organism', 'molecule', 'function']"
Spongy bone is found inside bones and is lighter and less dense than compact bone because it is what?,porous,"['amorphous', 'pliable', 'porous', 'fibrous']"
"Animals are heterotrophs, which means that they cannot make their own what?",food,"['food', 'fuel', 'habitat', 'energy']"
What is the electron domain geometry of ammonia?,tetrahedral,"['atoms', 'membranes', 'neurons', 'tetrahedral']"
"In humans, fertilization occurs soon after the oocyte leaves this?",ovary,"['placenta', 'testes', 'ovary', 'egg']"
"Oxygen, carbon dioxide, atp, and nadph are reactants in what process that plants use to produce food?",photosynthesis,"['photosynthesis', 'absorbtion', 'chlorophyll', 'glycolysis']"
What is the basic unit of the structure and function of living things?,cell,"['nucleus', 'atom', 'molecule', 'cell']"
The earth's gravitational force causes the moon to do what?,orbit the earth,"['change size', 'lose orbit', 'overlap the earth', 'orbit the earth']"
"When a nerve impulse reaches the end of an axon, what are the chemicals released by the axon called?",neurotransmitters,"['receptors', 'neurons', 'electrolytes', 'neurotransmitters']"
What do ecosystems absorb on the earth?,energy,"['hydrogen', 'fuel', 'water', 'energy']"
Under what type of conditions can populations grow exponentially?,ideal,"['pleasant', 'ideal', 'lush', 'useful']"
Malonate plays what negative role on the enzyme succinate dehydrogenase?,inhibitor,"['receptor', 'inhibitor', 'pathway', 'catalyst']"
How many mass extinctions have occurred throughout earth's history?,five,"['three', 'four', 'six', 'five']"
What refers to the ability to change or move matter and is required by all life processes and living things?,energy,"['enthalpy', 'fuel', 'energy', 'gravity']"
"In the grand canyon, the same rock layers are visible on opposite sides of the canyon and were deposited simultaneously, which is an example of what?",lateral continuity,"['width continuity', 'directly continuity', 'lateral continuity', 'bilateral continuity']"
What do we call the visible part of the electromagnetic spectrum?,light,"['electricity', 'weight', 'radio', 'light']"
What type of crust is made of basalt lavas that flow onto the seafloor?,oceanic,"['warm', 'endotopic', 'exotic', 'oceanic']"
Do changes to rocks happen quickly or slowly?,slowly,"['slowly', 'quickly', 'quickly then slowly', 'slowly then quickly']"
What is a large molecule with many repeating units?,polymer,"['cells', 'plasma', 'polymer', 'supermolecule']"
"What absorbs, scatters, or reflects most incoming solar radiation in the atmosphere?",clouds and dust,"['clouds and sand', 'clouds and dust', 'ice and dust', 'coulds and minerals']"
"Small nonprotein, water-soluble molecules or ions called second messengers often play a role in what kind of pathways?",signaling,"['creating', 'inhibiting', 'signaling', 'creating']"
How do many mammals control their body temperature?,sweating,"['itching', 'dieting', 'sweating', 'homeostasis']"
"The invention of the wheel is an example of what, which has the goal of solving human problems?",technology,"['technology', 'industry', 'evolution', 'concept']"
Prokaryotes can reproduce quickly by what?,binary fission,"['binary fission', 'multiple fission', 'solar fission', 'residual fission']"
What is defined by its sequence of nucleotides?,nucleic acids,"['amino acids', 'proteins acids', 'structural acids', 'nucleic acids']"
What in roundworms is a partial body cavity filled with fluid?,pseudocoelom,"['spicule', 'abdomen', 'cocklebur', 'pseudocoelom']"
Which body system breaks down food and absorbs nutrients?,digestive system,"['circulation system', 'digestive system', 'skeletal system', 'hormonal system']"
What disease is unpreventable in the type one form but may be prevented by diet if it is of the second type?,diabetes,"['TB', 'diabetes', 'Cancer', 'Obesity']"
What do you call a chemical process used to treat water by destroying a contaminant?,chemical remediation,"['toxic remediation', 'chemical remediation', 'carbon remediation', 'basic remediation']"
What occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic?,ocean acidification,"['acid rain', 'desalinization', 'ocean vaporization', 'ocean acidification']"
What kind of muscle is the heart mainly composed of?,cardiac muscle,"['respiratory muscle', 'idealized muscle', 'cardiac muscle', 'nerve muscle']"
Assume a molecule must cross the plasma membrane into what?,cell,"['atom', 'shell', 'circle', 'cell']"
What branch of science explains much of what you observe and do in your daily life?,physical science,"['physical science', 'psychology', 'temperature science', 'astronomy']"
Most of the energy used by living things comes either directly or indirectly from where?,sun,"['earth', 'horizon', 'sun', 'water']"
"When present in large volumes, what color hue can water emit?",blue,"['white', 'pink', 'yellow', 'blue']"
What prevents new ovarian follicles from developing and suppresses uterine contractility?,progesterone,"['glucose', 'estrogen', 'progesterone', 'germination']"
What type of bombs put a much larger fraction of their output into thermal energy than do conventional bombs?,nuclear,"['TNT', 'dense bombs', 'dirty bombs', 'nuclear']"
"The majority of elements, including iron and copper, are of what type?",metals,"['oils', 'metals', 'minerals', 'acids']"
What happens to water vapor as it rises?,it cools,"['it cools', 'it warms', 'it vibrates', 'it disperses']"
Prophase is preceded by a preprophase stage in what type of cells?,plant cells,"['hair and nail cells', 'plant cells', 'egg cells', 'brain cells']"
The bilaterians are divided into deuterostomes and what else?,protostomes,"['gymnosperms', 'progestins', 'protostomes', 'protozoa']"
What is it called when birds keep their eggs warm while the embryos inside develop?,incubation,"['spawning', 'incubation', 'fertilization', 'insulation']"
"What leaves behind crescent-shaped scars on a hillside and  may be caused by a layer of slippery, wet clay underneath the rock and soil on a hillside?",slump,"['slide', 'creep', 'shearing', 'slump']"
What is the organ system that brings oxygen into the body and releases carbon dioxide?,lungs,"['lungs', 'kidneys', 'brain', 'liver']"
What is the union of the cytoplasms of two parent mycelia known as?,plasmogamy,"['spirogyra', 'plasmogamy', 'xerophyte', 'plasmology']"
How many chambers are there in a bird's heart?,4,"['5', '4', '3', '1']"
The ladybug and the frog both start as eggs and go through what process?,metamorphosis,"['transition', 'metamorphosis', 'parthenogenesis', 'proboscis']"
What formula  shows only the kinds and numbers of atoms in a molecule?,molecular formula,"['nucleus formula', 'atomic formula', 'plasma formula', 'molecular formula']"
"In multicellular organisms, essential biological functions are carried out by what?",organs,"['cells', 'organs', 'atoms', 'molecules']"
"Fahrenheit, celsius, and kelvin are all units which measure what?",temperature,"['precipitation', 'brightness', 'radiation', 'temperature']"
Many plants respond to the days growing shorter in the fall by doing what?,going dormant,"['migrating', 'turning to liquid', 'growing faster', 'going dormant']"
What are the smallest particles of matter?,atoms,"['molecules', 'atoms', 'electrons', 'ions']"
How do animals obtain nitrogen?,eating plants or organisms,"['eating plants other animals', 'eating plants or bugs', 'eating plants or organisms', 'eating plants or sediments']"
Hydrophilic molecules generally avoid what other kinds of molecules?,hydrophobic,"['lipophilic', 'aqueous', 'neutral', 'hydrophobic']"
Where do t cells mature?,thymus gland,"['liver', 'thymus gland', 'pituitary gland', 'bone marrow']"
The name of a simple covalent compound can be determined from its chemical this?,formula,"['formula', 'models', 'map', 'configuration']"
Asteroids are not geologically active. which is the only way they can change?,a collision,"['combustion', 'expansion', 'propulsion', 'a collision']"
What term describes reproducing by external fertilization after the female sheds large numbers of small eggs?,oviparous,"['homozygous', 'oviparous', 'glandular', 'glaucous']"
Solid carbon dioxide is called what?,dry ice,"['carbohydrate', 'dry ice', 'blue ice', 'liquid nitrogen']"
"While ecosystems need a constant input of energy for their organisms, what do ecosystems recycle?",matter,"['light', 'water', 'food', 'matter']"
Most mercury compounds decompose when they are?,heated,"['filled', 'mixed', 'cooled', 'heated']"
"Animal behavior can be said to be controlled by genetics and experiences, also known as nature and what?",nurture,"['interaction', 'evolution', 'nurture', 'growth']"
The first two electrons in lithium fill the 1s orbital and have the same sets of four what as the two electrons in helium?,quantum numbers,"['decay numbers', 'kinetic numbers', 'quantum numbers', 'gravity numbers']"
What allows some things to enter the cell while keeping other things out?,cell membrane,"['cell center', 'cell vacuum', 'cell substrate', 'cell membrane']"
What is the term for something changing from water to ice?,freezing,"['melting', 'freezing', 'evaporation', 'boiling']"
What is an individual with more than the correct number of chromosome sets called?,polyploid,"['polyploid', 'autotrophs', 'diploid', 'autosome']"
Most of the fresh water on earth is tied up in a solid form. what are they called?,glaciers,"['oceans', 'lakes', 'glaciers', 'sediments']"
What takes place where septa is found?,forming of reproductive cells,"['forming of brain cells', 'forming of muscle tissue', 'forming of reproductive cells', 'forming of stem cells']"
Hertz proved that what type of waves travel at the speed of light?,electromagnetic,"['sound', 'seismic', 'electromagnetic', 'tsunamis']"
"Specific antigens on the surface of red blood cells determine what, which is important in cases of transfusion?",blood type,"['blood count', 'blood type', 'blood amount', 'blood form']"
Where do extrusive igneous rocks cool at?,surface,"['underground', 'in water', 'surface', 'in volcanoes']"
What is citrate an ionized form of?,citric acid,"['protein', 'carbonic acid', 'hydrochloric acid', 'citric acid']"
What functions in removing phosphorylated amino acids from proteins?,phosphatase,"['sucrose', 'peptide', 'carbonate', 'phosphatase']"
The hypothalamus in vertebrates integrates what two systems?,endocrine and nervous,"['endocrine and nervous', 'Pathway and nervous', 'marrow and nervous', 'connectors and nervous']"
What type of biomes have water containing little or no salt?,freshwater biomes,"['coastal biomes', 'marine biomes', 'freshwater biomes', 'aquatic biomes']"
Electricity consists of a constant stream of what tiny particles?,electrons,"['ions', 'quarks', 'atoms', 'electrons']"
What is a solution with a ph lower than 7 called?,acid,"['basic', 'neutral', 'dioxide', 'acid']"
"Which division of the peripheral nervous system interprets signals, while the motor division sends signals?",sensory,"['kinetic', 'automatic', 'sensory', 'olfactory']"
What record provides evidence that new species develop to fill the habitats where old species lived following a mass extinction?,fossil record,"['fossil fuels', 'erosion record', 'fossil record', 'climate record']"
What is the process of filtering waste from the kidneys?,dialysis,"['inflammation', 'dialysis', 'virus', 'stones']"
The energy required to remove an electron from a gaseous atom is called?,ionization energy,"['potential energy', 'ionization energy', 'fission energy', 'vapor energy']"
"The four basic types of tissue are epithelial, muscle, connective, and what?",nervous,"['nervous', 'digestive', 'circulatory', 'regulatory']"
What theory states that all matter consists of constantly moving particles?,kinetic theory of matter,"['conservtion of matter', 'inertia theory', 'Big Bang theory', 'kinetic theory of matter']"
Carnivores that eat herbivores are what kind of consumers?,secondary,"['primary', 'quaternary', 'secondary', 'tertiary']"
Plant-like protists contains chloroplasts and make food by what process?,photosynthesis,"['farming', 'digestion', 'photosynthesis', 'chemical processes']"
What is written as systolic over diastolic?,blood pressure,"['brain pressure', 'fractional pressure', 'blood pressure', 'blood position']"
"When a species changes in small ways over time, what is it called?",microevolution,"['small evolution', 'microevolution', 'nanoevolution', 'minievolution']"
What is the purpose of a bird using flashy displays?,to attract mates,"['to protect their territory', 'to signal feeding', 'to dissuade predators', 'to attract mates']"
"What do you call the ancient cores of continents, where the earliest continental crust is now found?",cratons,"['craters', 'mantles', 'cratons', 'escarpments']"
"In the case of the moose, predation is an additional factor that regulates what?",population,"['speed', 'color', 'weight', 'population']"
Where do short period comets come from?,kuiper belt,"['vesta belt', 'kuiper belt', 'photon belt', 'milky way']"
Only after implantation can an embryo develop into a what?,fetus,"['living thing', 'mammal', 'humans', 'fetus']"
What are atoms with unstable nuclei are considered to be?,radioactive,"['unstable', 'ions', 'destructive', 'radioactive']"
In what form is atmospheric sulfur found?,sulfur dioxide (so2),"['sulfuric acid', 'sulfur monoxide', 'formaldehyde', 'sulfur dioxide (so2)']"
