example,IndividualLabels,CategorizedLabels
"Three FBI agents who testified against Rashid during the trial , held at Korydallos prison , said they had ample evidence against Rashid for a bomb planted on a Pan American plane in Brazil in 1982 and a mid-air bomb blast on a TWA airliner approaching Athens in 1986 which killed four U.S. citizens .","[{""Description"": ""Organization"", ""Text"": ""FBI""}, {""Description"": ""Person"", ""Text"": ""Rashid""}, {""Description"": ""Location"", ""Text"": ""Korydallos""}, {""Description"": ""Person"", ""Text"": ""Rashid""}, {""Description"": ""Miscellaneous"", ""Text"": ""Pan American""}, {""Description"": ""Location"", ""Text"": ""Brazil""}, {""Description"": ""Organization"", ""Text"": ""TWA""}, {""Description"": ""Location"", ""Text"": ""Athens""}, {""Description"": ""Location"", ""Text"": ""U.S.""}]","{""Location"": [""Korydallos"", ""Brazil"", ""Athens"", ""U.S.""], ""Organization"": [""FBI"", ""TWA""], ""Person"": [""Rashid"", ""Rashid""], ""Miscellaneous"": [""Pan American""]}"
School football player banned for slashing opponents .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"ALBUQUERQUE , N.M. 1996-12-05","[{""Description"": ""Location"", ""Text"": ""ALBUQUERQUE""}, {""Description"": ""Location"", ""Text"": ""N.M.""}]","{""Location"": [""ALBUQUERQUE"", ""N.M.""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
A New Mexico high school football player who used razor-sharp helmet buckles to slash opponents and a referee was expelled from high school banned Thursday from competition for one year .,"[{""Description"": ""Location"", ""Text"": ""New Mexico""}]","{""Location"": [""New Mexico""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Mike Cito , 17 , was expelled from St Pius X High School in Albuquerque after an October game in which he used the sharpened chin strap buckles to injure two opposing players and the referee .","[{""Description"": ""Person"", ""Text"": ""Mike Cito""}, {""Description"": ""Organization"", ""Text"": ""St Pius X High School""}, {""Description"": ""Location"", ""Text"": ""Albuquerque""}]","{""Location"": [""Albuquerque""], ""Organization"": [""St Pius X High School""], ""Person"": [""Mike Cito""], ""Miscellaneous"": []}"
One of the players need 10 stitches to a cut on his forearm .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Officials said the New Mexico Activities Association decided to bar Cito from any inter-scholastic competition until next October , regardless of the school he attends .","[{""Description"": ""Organization"", ""Text"": ""New Mexico Activities Association""}, {""Description"": ""Person"", ""Text"": ""Cito""}]","{""Location"": [], ""Organization"": [""New Mexico Activities Association""], ""Person"": [""Cito""], ""Miscellaneous"": []}"
"Cito 's father , Stephen Cito , had admitted filing the metal buckles to a fine edge , saying he did it to get even with the referee and with players who had roughed up his son in a previous game .","[{""Description"": ""Person"", ""Text"": ""Cito""}, {""Description"": ""Person"", ""Text"": ""Stephen Cito""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Cito"", ""Stephen Cito""], ""Miscellaneous"": []}"
Cyberspace squabbles overshadow copyright talks .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Elif Kaban,"[{""Description"": ""Person"", ""Text"": ""Elif Kaban""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Elif Kaban""], ""Miscellaneous"": []}"
GENEVA 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""GENEVA""}]","{""Location"": [""GENEVA""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"In a gloomy Geneva conference centre built before the dawn of the Internet , groups of staid officials made a first stab on Friday at rewriting copyright laws for the digital age .","[{""Description"": ""Location"", ""Text"": ""Geneva""}, {""Description"": ""Miscellaneous"", ""Text"": ""Internet""}]","{""Location"": [""Geneva""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Internet""]}"
But critics at the first government-level meeting to revise copyright laws in 25 years said the officials and legislators might as well be trying to police the ether .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"After four days of diplomatic wrangling over procedures , some 600 delegates from nations small and large got down to the nitty-gritty of setting the digital agenda for the first time .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Cyberspace squabbles overshadowed the debate on a stack of proposals covering literary and artistic works , the rights of performers and producers of music and producers of databases .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
" If it goes on like this , we wo n't have enough time to finish all the discussions ,  a frustrated Western delegate said . ",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
They announced they will start evening sessions next week . ,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Attempts by copyright-based industries to ensure they get a cut from online works led to a storm of protests by Internet companies and critics who say the pacts would curb public access to online information from soccer results to stock prices .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Internet""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Internet""]}"
 It 's not illegal to make photocopies of newspaper articles .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
It 's fair use .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
We can read sports statistics or stock prices .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"But with the treaty , this kind of fact will be owned and subject to licensing ,  said James Love , a consumer lobbyist heading the Washington-based Consumer Project on Technology .","[{""Description"": ""Person"", ""Text"": ""James Love""}, {""Description"": ""Miscellaneous"", ""Text"": ""Washington-based""}, {""Description"": ""Person"", ""Text"": ""Consumer Project""}]","{""Location"": [], ""Organization"": [], ""Person"": [""James Love"", ""Consumer Project""], ""Miscellaneous"": [""Washington-based""]}"
 None of the treaties are ready to move .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
These people do n't understand what they 're doing . ,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"At stake are billions of dollars and the future of the electronic information industry -- the coming medium for the distribution of music , films , literature , software and commerce .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Supporters of the three pacts say they are only an extension of existing intellectual property rights , covered by the century-old Berne Convention .","[{""Description"": ""Miscellaneous"", ""Text"": ""Berne Convention""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Berne Convention""]}"
"But an array of opponents from the network industry to consumer , scientific and academic groups say the pacts will give sweeping powers to entertainment and copyright-based industries .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
A quick survey at the conference centre found few officials who had actually surfed the Internet .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Internet""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Internet""]}"
"Mongolia 's state copyright official , Gundegma Jargalshaihan , said apologetically that he had just arrived from Ulan Bator and was not aware of the details of the digital agenda .","[{""Description"": ""Location"", ""Text"": ""Mongolia""}, {""Description"": ""Person"", ""Text"": ""Gundegma Jargalshaihan""}, {""Description"": ""Location"", ""Text"": ""Ulan Bator""}]","{""Location"": [""Mongolia"", ""Ulan Bator""], ""Organization"": [], ""Person"": [""Gundegma Jargalshaihan""], ""Miscellaneous"": []}"
" We do n't have money for Internet in Mongolia ,  he added .","[{""Description"": ""Miscellaneous"", ""Text"": ""Internet""}, {""Description"": ""Location"", ""Text"": ""Mongolia""}]","{""Location"": [""Mongolia""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Internet""]}"
"Alexander Bavykin , deputy legal chief at Russia 's foreign ministry , said Moscow had yet to formulate a policy on copyright in cybersppace .","[{""Description"": ""Person"", ""Text"": ""Alexander Bavykin""}, {""Description"": ""Location"", ""Text"": ""Russia""}, {""Description"": ""Location"", ""Text"": ""Moscow""}]","{""Location"": [""Russia"", ""Moscow""], ""Organization"": [], ""Person"": [""Alexander Bavykin""], ""Miscellaneous"": []}"
He too had never browsed the Net .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
 I 've never tried it and why should I ?,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"There are lots of other things in this life I have n't tried either ,  he said .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
A visit to the computer centre offering Internet services found a lone European official clicking away on his mouse .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Internet""}, {""Description"": ""Miscellaneous"", ""Text"": ""European""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Internet"", ""European""]}"
" Internet is a potential cash cow for copyright-based industries and we need roadmaps on the information superhighway ,  said Marc Pearl , vice-president of the Information Technology Association of America , a trade association of U.S. network companies opposing the treaties .","[{""Description"": ""Miscellaneous"", ""Text"": ""Internet""}, {""Description"": ""Person"", ""Text"": ""Marc Pearl""}, {""Description"": ""Organization"", ""Text"": ""Information Technology Association of America""}, {""Description"": ""Location"", ""Text"": ""U.S.""}]","{""Location"": [""U.S.""], ""Organization"": [""Information Technology Association of America""], ""Person"": [""Marc Pearl""], ""Miscellaneous"": [""Internet""]}"
 But there are a lot of dinosaurs here .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
People here do n't understand Internet technology .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Internet""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Internet""]}"
"Because they do n't understand technology , they fear the unknown . ",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Before the Internet , those whose business was to protect copyrights knew where they stood .","[{""Description"": ""Miscellaneous"", ""Text"": ""Internet""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Internet""]}"
"Their enemies were tangible if elusive , such as the people who pirated music cassettes .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"But the Internet , a global computer network where anything from music to software can be duplicated and distributed at the click of a computer mouse , has ripped up the rulebooks .","[{""Description"": ""Miscellaneous"", ""Text"": ""Internet""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Internet""]}"
Network operators said the draft laws would hold them responsible for copyright infringements in the system and expose them to multi-billion-dollar liabilities .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Network""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Network""]}"
" There are 500 million messages transmitted through the Internet everyday ,  said Tim Casey of the U.S.-based MCI Communications Corporation . ","[{""Description"": ""Miscellaneous"", ""Text"": ""Internet""}, {""Description"": ""Person"", ""Text"": ""Tim Casey""}, {""Description"": ""Miscellaneous"", ""Text"": ""U.S.-based""}, {""Description"": ""Organization"", ""Text"": ""MCI Communications Corporation""}]","{""Location"": [], ""Organization"": [""MCI Communications Corporation""], ""Person"": [""Tim Casey""], ""Miscellaneous"": [""Internet"", ""U.S.-based""]}"
How can we control them all ? ,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Italy evacuates 17 nuns and priests from Zaire .,"[{""Description"": ""Location"", ""Text"": ""Italy""}, {""Description"": ""Location"", ""Text"": ""Zaire""}]","{""Location"": [""Italy"", ""Zaire""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
ROME 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""ROME""}]","{""Location"": [""ROME""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Italy said on Friday it had evacuated 17 Roman Catholic nuns and priests from Zaire where they had been at risk from fighting between government troops and ethnic Tutsi rebels .,"[{""Description"": ""Location"", ""Text"": ""Italy""}, {""Description"": ""Miscellaneous"", ""Text"": ""Roman Catholic""}, {""Description"": ""Location"", ""Text"": ""Zaire""}, {""Description"": ""Miscellaneous"", ""Text"": ""Tutsi""}]","{""Location"": [""Italy"", ""Zaire""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Roman Catholic"", ""Tutsi""]}"
The Foreign Ministry said the 10 Europeans and seven Africans took a special flight from the Garamba national park in northern Zaire to the Ugandan capital Kampala where they were being looked after at the Italian embassy .,"[{""Description"": ""Organization"", ""Text"": ""Foreign Ministry""}, {""Description"": ""Miscellaneous"", ""Text"": ""Europeans""}, {""Description"": ""Miscellaneous"", ""Text"": ""Africans""}, {""Description"": ""Location"", ""Text"": ""Garamba""}, {""Description"": ""Location"", ""Text"": ""Zaire""}, {""Description"": ""Miscellaneous"", ""Text"": ""Ugandan""}, {""Description"": ""Location"", ""Text"": ""Kampala""}, {""Description"": ""Miscellaneous"", ""Text"": ""Italian""}]","{""Location"": [""Garamba"", ""Zaire"", ""Kampala""], ""Organization"": [""Foreign Ministry""], ""Person"": [], ""Miscellaneous"": [""Europeans"", ""Africans"", ""Ugandan"", ""Italian""]}"
"The group had travelled from their mission on the edge of the park to a landing strip to make the rendezvous , a ministry official said .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"The ministry said the group consisted of 13 nuns , seven Italians and six Zaireans , and four priests , two from Belgium , one from Spain and one from Zambia .","[{""Description"": ""Miscellaneous"", ""Text"": ""Italians""}, {""Description"": ""Miscellaneous"", ""Text"": ""Zaireans""}, {""Description"": ""Location"", ""Text"": ""Belgium""}, {""Description"": ""Location"", ""Text"": ""Spain""}, {""Description"": ""Location"", ""Text"": ""Zambia""}]","{""Location"": [""Belgium"", ""Spain"", ""Zambia""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Italians"", ""Zaireans""]}"
