input,label
"Product Name: Tyrannosaurus Hex Patch Description: T.Rex as a witch for dinosaur and witch lovers
* Measures approximately 3"" H 
* Poly thread embroidered onto twill 
* Patch can be sewn on or ironed on
 *Packaging option: $0.50 per unit, comes in a clear poly bag with a Junkyard Witch header card
",Sci-Fi & Fantasy
"Product Name: Lockdown birthday card: Barnard Castle eye test Description: Lockdown, Dominic Cummings, coronavirus, Covid birthday card: You now qualify for a Barnard Castle eye test (Size A6/A5/A4/Square 6x6"")

• Blank inside
• Printed on high-quality 450gsm white card for a superior finish
• Dimensions and details: 
- Square: 6"" x 6"" or 152mm x 152mm - comes with brown kraft envelope
- A6: 5.875"" x 4.125"" or 148mm x 105mm - comes with brown kraft envelope
- A5: 8.25"" x 5.875"" or 210mm x 148mm - comes with brown kraft envelope
- A4: 11.75"" x 8.25"" or 297mm x 210mm - comes with banana yellow envelope

Keywords: lockdown birthday, birthday card, corona birthday, coronavirus birthday, pandemic birthday, lockdown card, coronavirus card, corona card, pandemic card, barnard castle card, eye test lockdown, dominic cummings, cummings barnard",Sci-Fi & Fantasy
"Product Name: You’re So Golden Golden French Fries Vinyl Sticker Description: Looking for a perfect little add on to push your sales to the next level? Our stickers are sure to do just that and bring a smile to your customer's faces! Each sticker design is hand drawn, professionally printed on quality sticker vinyl, and sealed with a laminate to ensure the longevity of the product.

This design is offered in a 2"" or 3"" size, measured on the longest side of the sticker.

Please note that colors may vary slightly due to differences in screen displays.",food & drink
"Product Name: One Cool Chick Mom Mother's Day Greeting Card Description: These folded cards are 4.25"" x 5.5"" (A2), printed on premium arctic white linen textured 100lb cardstock. High quality envelope with Euro flap included.

Material: 100lb linen cardstock
Size: 4.25"" x 5.5"" (fits a A2 Envelope)


",Animals
"Product Name: Iron-on Patch - skull biker pink Description: Refine or repair your textiles, such as jeans, jackets, trousers, T-shirts, sweatshirts, scarves, backpacks, towels, bags, hats, school bags, pillows, blankets, vests, etc. - Make monotonous clothing an eye-catcher.",gothic
"Product Name: I Woof You Valentine's Day Card Description: Valentine's Day Card, Dog Greeting Card, Dalmatian Cute Card, Editable, Instant Download

Greeting Cards
-All greeting cards are customizable.
-Print & Ship to you.
-Greeting Cards are available in 5x7 size or 4x6. Message me for custom size or write in personalization box
-Includes an envelope


Person/ Pet Portraits
-Sizes vary
-Print & Ship to you
-Message me your custom text or write in the personalization field","Cats, Dogs & Other Pets"
"Product Name: Baby Toy Shelves Description: - Single Card & Matching Envelope 
- A2 size (4.25 x 5.5"")
- Blank Interior
- Made in USA",
"Product Name: If You Were A Book | Nerd Valentine's Day Card | Book Lovers Description: A Valentine's Day card for book lovers, a little funny and a little nerdy.

Original Illustration, printed digitally.
Printed on 100% recycled 300gsm card stock.
Includes envelope.  
Each card comes packaged in a clear cello bag to keep them safe and clean. Clear biodegradable bags are available on request, however it’s recommended that cards in bio bags are not stored or displayed in direct sunlight.",Books & Reading
"Product Name: Dad Bow Tie Description: Beautiful warm white cover paper

4.25 x 5.5""

Blank interior

Includes coordinating envelope and plastic sleeve

Made in USA

Silver foil accents",Fashion
"Product Name: Hearsay Papers Sticker/Magnet- Johnny Depp Description: You have 4 choices of material....

-Glossy/matte waterproof vinyl is good for tumblers, mugs, or anything that will get wet. It is also UV and yellowing resistant so it will not fade or change color in the sun.

-Holographic is very durable, tear-free, and waterproof. Great for outdoor use.

-Magnet. It is good for using indoors. It is not waterproof so it is not recommended for outdoor use. 
Size is 3x2.5in",pop culture
"Product Name: Space Babe 2.0 Babe Doodle Sticker | Choose your Skin Tone! Description: Welcome to TheHoneyBShop where planner stickers are sweeter than honey! 

Details: 
- Sticker sheet size: 3.9"" x 3.5""
- Printed with high quality inks on a weatherproof matte sticker paper. 
- Kiss-cut stickers easily peel up and to be placed in your planner/journal!
We are a Ready To Ship shop, meaning we have everything printed and cut ready to be shipped to you! We do NOT offer customization on this product. If you leave a note in the Note to Seller for changes, changes will not be filled. 

♡
If you have any further questions, please contact me.

All orders are filled with love & honey. 

♡ Thank you for shopping small with TheHoneyBShop and supporting our day dream! ♡ ",Pop Culture
"Product Name: Magical Day Mushroom Card Description: Say happy birthday in the most magical way!

Customers can send a little magic someone’s way with this magical mushroom birthday card. With its funky style and whimsical setting, it’s the perfect card for their favorite hippie or forager in their life.

Blank on the inside so they can share their most enchanted well wishes.

✿ 4.13"" x 5.82"" (A6) greeting card.
✿ Printed on thick 16pt, FSC accredited paper. 
✿ Blank on the inside. 
✿ Comes complete with a 100% recycled Kraft envelope. 
✿ 2 packaging options to choose from.",Sci-Fi & Fantasy
"Product Name: Woven Laundry Basket Description: I never really understood how a handwoven basket could be such an object of beauty until I became a mother. Now its functionality has such meaning in making our house a home. Even when it's full of laundry to be washed or put away, its beauty brings such warmth to our days.

 * Sold as a Single or as a Set of 6

 * 100% Premium Cotton Paper

 * Blank Interior",
"Product Name: Drink Water Witch Vinyl Sticker | 2.8"" Description: Great witchy reminder!

This is a great sticker to use on laptops, water bottles, planners, journals, an iPad, skateboards, or whatever else you want to stick it to!

2.8"" (7.11 cm) on widest part

- Stickers are printed on high-quality, matte vinyl sticker paper.
- Laminated for extra protection (scratches, UV light, water).
- They are great against minor wear and tear
- Waterproof/weatherproof
- Indoor and outdoor use
- All stickers are hand drawn, cut, and packaged by me

*Stickers are sold loose or with hangers

",Sci-Fi & Fantasy
Product Name: Things I dont want to do - Pastel Rainbow - Notepad Description: Each notepad comes with 20 sheets. Thick High Quality Paper.,
"Product Name: Mt. Shasta:  Vinyl Stickers Description: Vinyl Mt. Shasta sticker created from my original acrylic painting of ""Moon over Mt. Shasta"". This is the perfect sticker for adventurers, mountain, nature, and wilderness enthusiasts. These high quality stickers/decals are perfect for a water bottle, thermos, laptop, vehicle, refrigerator, journal cover, and anywhere else you can think of!

Stickers/Decals are:
* Indoor/Outdoor
* Waterproof
* Very Durable. Resists scratches and sunlight
* Matte finish

Size:
With quote (Live Your Wildlife): 4"" x 2.72"" (10.16cm x 6.91cm)
Without quote: 4"" x 2.72"" (10.16cm x 6.91cm)
",Travel & Adventure
"Product Name: SINGER SARGENT LADY AGNEW fine art wood card, wood magnet Description: ‘Lady Agnew of Lochnaw’ John Singer Sargent ©National Galleries of Scotland
Available as sustainable wood fine art cards and sustainable wood magnets.

- Sustainable WOODEN POSTCARDS to send and to keep. 
Postcard back. Write with a ballpoint pen and stamp at domestic rate. Send anywhere in the world. Each card measures 15cm/5.9"" by 10cm/3.9"" and is 4mm/0.2"" thick.

- Sustainable WOODEN MAGNETS. 
Magnetic back. Each magnet measures 10cm/3.9"" by 7.5cm/6"" and is 4mm/0.2"" thick.

Eco-friendly packaging, cards and magnets are simply banded and boxed for transport. Ready to display, no superfluous packaging.

Sustainable wood printed in England.
We plant trees with Ecologi.",art & music
"Product Name: Auntie Surprise We're Having A Baby Pregnancy Card, Pregnanc Description: CARD DETAILS:
- The crochet element is hand crocheted with 100% cotton yarn and stuck to the card with hot glue. 
- Each card measures approx. 6x6 inches 
- Printed on premium card (300gsm) and comes with a matching envelope (120gsm) 
- Cards will be left blank unless opted for a printed message inside",family & friendship
"Product Name: Home Grown Florida  Spiral Notebook Description: Spread your Florida love with this awesome spiral notebook.

• 5""x7"" Spiralbound Notebook

• Durable Thick Glossy Laminate Cover

• 75 Leaves of Lined Paper (150 Pages to Write On)

• Black Coil Binding Allows the Notebook to Lay Completely Flat

• Corners Are Rounded to Prevent Bending",geography & hometown
Product Name: Forever Indebted Greeting Card Description: Interior: blank. Coordinating envelope. 5.5 x 4.25 inches. Ships in a clear cello sleeve.,Gratitude
"Product Name: Time Warp Blank Pattern Description: Warped checker blank pattern cards in black and white, all occasions greeting card. Part of a series of checkers and grids that bend space and time.

• Greeting Card 
• Blank inside 
• A2 (4.25"" x 5.5"") 
• 100# FSC-certified paper 
• Comes with a color-coordinated envelope 
• Packaged in a protective cellophane sleeve 
• Flat-printed 
• Printed in the USA",Abstract & Geometric
"Product Name: Tiny Human greeting card Description: ""Yay! You made a tiny human..""

A6 sized card printed on white felt cover stock. Inside is blank and the card comes with a pink or blue envelope.",Family & Friendship
"Product Name: Grasses Embossed Notecards - Pack of 6 Description: A beautiful set of 6 handmade folded white note cards embossed with a grasses design. 

Each card is individually handcrafted using premium quality white card and you have a choice of envelope colours which are also embossed on the flap. The inside of the cards are left blank. 

You can choose whether to have the pack of cards wrapped with a paper belly band (as shown in the photo) or packaged in a bio-degradable clear bag.

Made with lots of ❤️ and ☕

Card size: UK size A6 (US size A2) - 14.8cms x 10.5cms (5.8"" x 4.1"")
Luxury 350 gsm cardstock

Tags: stationery gift, set of notelets, minimalist, practical gift, thank you card, correspondence, wildlife, nature",Plants & Floral
"Product Name: Plant Based 420 Kawaii Sticker Description: • Size: 3in x 3in
• Water & UV Resistant Laminated Handmade Stickers
• Stickers will come packaged individually for retail unless otherwise requested
• Not intended for long exposure outdoors or dishwashers",plants & floral
"Product Name: SEX AFTER MARRIAGE, Magnet, Button, Mirror, ASK JULIE Description: 2X3"" RECTANGLE MAGNET, BUTTON OR MIRROR

Check out all of our other collections. 

1"", 1.5"", 2.25"", 2x3"" Pinback Buttons, Magnets, Mirrors, Keychains, Bottle Openers are Union Made in the USA",Pop Culture
"Product Name: Aloha Means Love - Sticker Description: 
Aloha Means Love.

Stick it on your surfboard, stick it on your yeti, stick it everywhere.


One Size. 3'' Circle White with Pink Graphic or Navy with Pink Graphic.

Made with Aloha in Hawaii
",Love
"Product Name: I GOT YOU SOMETHING YOU REALLY LOVE HEMP CARD Description: I HAVE A KUSH ON YOU Hemp Card 

A great hemp card for that special someone in which you know what they enjoy. All new Stonerdays Hemp Greeting Card printed on hemp paper with a high quality 70lb thick recycled envelope.

This heavyweight hemp card stock and colorful print is bound to put a smile on your stoney lover.

STONER DAYS HEMP CARD FEATURES:

 * American Grown Hemp 
 * 8.5 by 5.5"" with envelope",Love
"Product Name: Rude, cheeky anniversary card: Nice pear Description: Funny, cheeky, rude, boobs, boobies, breasts, nice pair anniversary card: Nice pear (Size A6/A5/A4/Square 6x6"")

• Blank inside
• Printed on high-quality 450gsm white card for a superior finish
• Dimensions and details: 
- Square: 6"" x 6"" or 152mm x 152mm - comes with brown kraft envelope
- A6: 5.875"" x 4.125"" or 148mm x 105mm - comes with brown kraft envelope
- A5: 8.25"" x 5.875"" or 210mm x 148mm - comes with brown kraft envelope
- A4: 11.75"" x 8.25"" or 297mm x 210mm - comes with banana yellow envelope

Keywords: birthday card, funny birthday card, funny card, funny anniversary, nice pair card, nice pear card, cheeky card, cheeky birthday, rude card, rude birthday card, offensive birthday",Food & Drink
"Product Name: Octo's Tacos Flock of Gerrys Enamel Lapel Pin Description: Meet Octo! He & his Octo's taco cart are how Gerry discovered tacos! He also plays a mean custom two headed guitar! Gerry doesn't just dream of tacos, it's more of a love affair. Inspired by our pet seagull Gerry we bring you ""Flock of Gerrys"", a line of fun & awesome gifts inspired by Gerry & his animal friends. Material:zinc alloy
Plating:Dye black
Size: 2"" W x 1.5"" H
Technique:Die casting soft enamel with filling multi-colors,backing side is sandblasting with 2 butterfly clutches",Food & Drink
"Product Name: Funny Valentine Card-Valentines Day-I Love You Card Description: Product Name- Funny Valentine Card-Valentines Day-I Love You Card-Funny Greetings Card -Happy Valentines- Farts Love You-Blank Inside Card

The card is printed on white matte 300 gsm card, blank inside.

Comes with a Kraft recycled envelope and each card is individually scored for a clean fold, will be delivered in a hard backed protective mailer.

All cards now come in plastic free packaging!
Each card will be wrapped in a strip of biodegradable paper to help protect your card and the planet 

150 x 150mm 

Designed and illustrated by me, Sarah Harris, all on my iPad!

Copyright © Svhillustration",Love
"Product Name: Weekly Planner | Mountains Description: These weekly planners measure 6x8.5"" and feature a gold double-wire coil and hardcover with matte laminate and gold corners. 

In the front are several useful reference pages. Then, 12 tabs with a monthly spread then 5 weekly spreads. 

The weekly at-a-glance layout has a schedule page on the left side, and on the right space for meals, to-dos, notes, habit tracking, and next week planning. The perfect not-too-much-structure layout! 

Includes a sticker sheet and bookmark.

Choose from Undated or January Start (next January).",nature
"Product Name: Very Wise Birthday Card | SE0856A6 Description: A cheeky birthday card. Let's not use the word old, but wise instead. Very wise.

DETAILS:
- Standard A6 size card [5.8 x 4.1 inches, folded / 14.8 x 10.5 cm]
- Printed in the UK on 300 gsm FSC Certified white card stock
- Comes with a choice of a colour, brown kraft or white envelope
- Card is blank inside
- Card and envelope packed together in a compostable sleeve/cello - please let us know if you prefer to receive the cards 'naked'

*Please note colours on your screen may vary slightly from the colour of your purchase.*",
"Product Name: The Navigator Description: A2 size 4.25"" x 5.5""Printed and embossed on the finest recycled paper available.All cards and envelopes feature:100% recycled paper,&nbsp;50% post consumer and processed chlorine freeEach card is&nbsp;individually&nbsp;packaged in a clear protective sleeve with envelope.",
"Product Name: BYU186 Baby Congratulations Card Description: Cover: A Chip Off the Old Block
Inside: Congratulations!",
"Product Name: Tutti Fruity Birthday Card Description: Blank inside. Comes with a white envelope. Part of the illustrators range, designed by darcie olley for jolly awesome.",food & drink
"Product Name: Goggles Mountain Ski Snowboard Sticker - Montana Description: 4"" x 2.5"" die cut water and weatherproof vinyl sticker. 
Thick and durable vinyl protects form scratches, water & sunlight. 
Design featuring ski goggles with a snowy mountain scene.
Text can be removed or changed, please specify.

Your choice of packaging for your store display: individual stickers for stands/ bowls or stickers packaged in a clear hanging bag.",Sports
"Product Name: Famous Serial Killer Mug Shots Buttons & Bottle Openers Description: Sizes
Pins: Small 1.25"" Large 2.25""
Bottle Openers are 2.25"" only.
We recommend the Large Buttons for the best image.
All pictures are of the Large 2.25"" pins.

Follow & Tag us on Instagram at Fliptherecord77",Pop Culture
"Product Name: Enjoy every moment lapel pin, gift for men Description: Enjoy every moment lapel pin, gift for men, boyfriend gift, brother gift, father gift, sister gift, daughter gift, birthday gift for friend
__________________________________________________________________

By purchasing this listing you will receive one lapel pin.

Glass dome is 20mm / 0.8""
",gratitude
"Product Name: Love Stronger Than Moonshine Greeting Card Description: • Two-color hand-rendered, letterpress printed illustration
• 100% natural white cotton paper
• Blank interior
• Coordinating gray envelope
• Cello sleeve packaging
• Made in the USA",love
"Product Name: The You're Always Right Card Description: 
Give them the gift of vindication, there's nothing better <3 This card will guarantee that you give your mom the best gift of them all this Mother's Day!

PRODUCT DETAILS

 * Message inside reads: ""I admit it... you're always right"" 
 * A2 size (4.25 inches x 5.5 inches) 
 * handmade and printed on premium, high quality felt finish paper 
 * blue envelope with handmade wax seal included ",family & friendship
"Product Name: Smiley Face Patch - Pink-Hot Pink, Yellow, Blue, Pink-Blue Description: Add a dose of good vibes with our super fun & colorful smiley face patch!  Or tilt or use upside down if that's your current mood (understandable!).  Fully embroidered.  Wildflower + Co. DIY patches.  

Use this patch for an instant update on just about anything! Wildflower + Co. patches feature iron-on backing & ship with instructions.

♥ Measures approx. 2""
♥ Designed by & exclusive to Wildflower + Co.
♥ Iron on backing; ships with instructions
♥ Packaged on a card w/ instructions 
♥ Imported
♥ Intended for use by adults only
♥ Listing is for 1 patch - choose your color

Make it your own!
",
Product Name: Cosmic Adventure Half-Year Undated Planner (MLT_H065-LG) Description: nan,Sci-Fi & Fantasy
"Product Name: Wood Sticker - I Love the Sea Whale Description: Dust City Wood Sticker Style Options:
Wood Stickers are an eco-friendly alternative to traditional vinyl stickers. Wood Stickers are available in two styles.

Full Sized Dust City Wood Stickers:
These stickers feature 25 mil maple wood and can be cut into almost any shape. Each one is printed with our Ultra Vivid print process and has a peel away 3M adhesive backing. Our full sized Dust City Wood Stickers come packaged in a biodegradable cellophane sleeve and recycled paper hang tag.

Mini Sized Dust City Wood Stickers:
These stickers feature 25 mil maple wood and can be cut into almost any shape. Each one is printed with our Ultra Vivid print process and has a peel away 3M adhesive backing. These are a miniature version of our Dust City Wood Stickers and measure approximately 1.4” x 1.4” per sticker. Mini stickers come bulk packaged in groups of 60 stickers.",Beach & Coastal
"Product Name: Muerte Love Card Description: Original watercolor artwork
5.5"" x 4"" card
Blank inside
Comes with envelope and protective cellophane sleeve

Pintura acuarela original
Tarjeta 5.5"" x 4"" 
La tarjeta esta en blanco para que la personalizes a tu gusto
Incluye sobre y viene en bolsita de plástico",Gothic
"Product Name: Life is Fragile Handle with Care Vinyl Sticker | 3"" Description: This is a great sticker to use on laptops, water bottles, planners, journals, an iPad, skateboards, or whatever else you want to stick it to!

3"" (7.62 cm) on widest part

- Stickers are printed on high-quality, matte vinyl sticker paper.
- Laminated for extra protection (scratches, UV light, water).
- They are great against minor wear and tear
- Waterproof/weatherproof
- Indoor and outdoor use
- All stickers are hand drawn, cut, and packaged by me

*Stickers are sold loose or with hangers
",Gratitude
"Product Name: First Superhero Father's Day Card Description: INSIDE: Blank
PAPER: 100 lb white card stock
PACKAGING: Kraft envelope & cellophane sleeve",Pop Culture
"Product Name: Texas Logo Pinback Button Description: 1.25"" circle pinback button. Vibrantly printed colors. Packaged with card insert and clear sleeve for ""Packaged"" option. Shipped loose without packaging for ""Loose"" option. Handmade in Dallas, Texas.",geography & hometown
"Product Name: Mini Mantra : Dusty Rose & Clay : Sticker Description: 
Take the message 'Mini Mantra' where ever you go.

-PRODUCT INFO-
Vinyl sticker. 2""x3""

-SHIPPING- 

This is a PREORDER item.
",gratitude
"Product Name: Chi Omega -  Purple Funky Cowgirl - Sorority STICKER Description: Chi Omega - Purple Funky Cowgirl - Sorority Dye-Cut Stickers. Perfect for a gift for a new sorority girl, big or little, or home decor for yourself! 

3x3 Dye Cut Stickers.

Check out other listings for additional variations and colors. Send me a message for a custom piece!

Officially licensed through Affinity Gateway.",
"Product Name: California Refrigerator Notepad Description: Adding to Amanda Klein’s stationery and paper collections are these beautifully thoughtful note pads. These high quality refrigerator notepads combine Amanda Klein's whimsical watercolor design with simple, easy function. Our refrigerator notepads make a wonderful addition to any kitchen or work space.

- pre-wrapped in cellophane with branded belly-band for easy sale
- 50 dotted-line sheets
- size: 3 ½ “ x 9”
- magnet attached to sturdy chipboard backing
- available as larger (5x7) desk notepad (see other listing)

© Amanda Klein, 2023. All rights reserved.",geography & hometown
"Product Name: MAGNET I Love You Kansas City, Missouri Description: Our Magnets feature our artwork on quality materials in vibrant full color. We use eco-friendly ink, FSC certified paper, recycled materials, sourced responsibly and planet friendly. Made in USA, supporting domestic production.

• Eco-friendly non-toxic ink
• FSC certified paper
• Super strong magnet
• UV Resistant, will not fade
• 100% Made in America
• We guarantee color accuracy, durable imaging, and the highest print resolution available

Based in Seattle, WA, Lantern Press is a group of creative makers, inspired by the nature surrounding us and dedicated to contributing to and preserving our world's beauty each day. Our goal is to create art and thoughtfully made products that connect people with their memorable experiences. We hope our art provides a deeper connection with the people and places most important to you. Thank you so much for supporting our small business.",geography & hometown
"Product Name: Happily Ever After - Greeting Card Description: This card is A6 size and blank inside. It comes with a matched envelope which is FSC-certified. Through our collaboration with one of the best specialist printing companies in the UK, it's sustainably printed on G.F. Smith Callisto 300gsm FSC-certified paper, resulting in a lovely texture and rich colours. Standard, plastic-free biodegradable cellophane and cello-free packaging options are available.",love
"Product Name: NMX30 - George Henry Durrie, Winter In The Country Description: An elegant work of art is a wonderful way to send your good wishes this, and every holiday season. Nelson Lineâ€™s beautiful holiday cards & envelopes are made in the USA . Cards are printed on the finest quality, environmentally friendly stock. George Henry Durrie, (1820-1863). Winter in the Country, c.1858. National Gallery of Art Available Individually cello wrapped or in a box of 12 cards of one design with envelopes. Matte gold foil box features an inside fit acetate lid. Cards measure 5 x 7"", box measures 5-1/2 x 7-1/2 x 1"". Message inside reads: Warmest Thoughts and Best Wishes for Christmas and the New Year",Holiday Season
"Product Name: 38mm I'm A F*cking Delight Button Badge Description: This badge is for when you need to tell someone just how much of a delight you are! Hahaha ;)


Dimensions = 38mm
 
Each badge comes on a backing card & protected in a cellophane bag.",
"Product Name: B&W Kettlebell  Sticker (WATERPROOF) Description: This is a hand drawn design, made into a folksy die-cut sticker. This sticker is 3.5 x 2.5 in size, perfect for a computer or anything you can put stickers on! This sticker are reposition-able!

All materials are 2-3 year weatherproof withstanding everything from sunny days to the harshest of weather. Durable for cars, dishwashers, and anything else you could think of.",Health & Wellness
"Product Name: Christmas Card For Gran (White Snowman) Description: A truly unique greeting card for that special someone. This card is made to order by Fat Cat in the U.K from high quality, FSC sustainably sourced board. The card is 330gsm with a silk finish on the outer and matte on the inside for biro. The inside of the card is blank. The greeting card comes fully packaged with a white envelope (red for Christmas cards) and 100% recyclable cellophane bag. The back of the card highlights the fact that it is designed and made in the UK.",holiday season
"Product Name: Monarch Butterfly Resting on a Gardenia Flower Note Card Description:  Monarch Butterfly resting on a Gardenia Flower, this sweet note card is perfect for everyday correspondence, celebrating spring and flowers.

This 100% recycled card is blank inside and comes with a brown recycled paper envelope. The cards are 4 x 6 inches and the envelopes are a little bigger. 

The single cards are sold in a plant based compostable! 5 x 7 inch clear sleeve. 
The packs of 8 cards and envelopes come bound in jute and have a tag with a description.

This is a print of my original watercolor painting, and I hand make, print, and ship everything in my studio in Durango, Co.

Thank you so much for checking out my shop, please let me know if you have any questions!",Plants & Floral
